title,salary,experience,busyness,location,description,link
"Инженер-технолог конструкционных материалов, термообработки и металлографии",от 90 226 ₽/месяц,Опыт работы от 3 лет, полная занятость,,"Инжиниринг Инженер-технолог конструкционных материалов, термообработки и металлографии от 90 226 ₽/месяц Москва, Ленинградское шоссе, 58 4 минуты Водный стадион Показать на карте Опыт работы от 3 лет, высшее образование, полная занятость Научно-исследовательский машиностроительный институт имени В. В. Бахирева Клиент SuperJob с 2015 года Более 500 сотрудников АО ""НИМИ им. В. В. Бахирева""- надежный партнер с безупречной репутацией. Ведет свою историю с 1932 года. Является головным предприятием в... Обязанности: В лабораторию конструкционных материалов, термообработки и металлографии требуется ведущий инженер-технолог. О обязанности специалиста входит: Подготовка шлифов для проведения металлографических исследований. Проведение металлографических исследований различных материалов. Подготовка заключений металлографических исследований различных материалов. Разработка технологических процессов термической обработки заготовок из различных материалов. Участие в корректировке существующих технологических процессов термической обработки заготовок из различных материалов. Участие в авторском надзоре серийного производства изделий. Решение технических вопросов при изготовлении изделий в серийном и опытном производстве в части касающейся (командировки на территорию предприятий изготовителей изделий). Участие в выполнении научно-исследовательских и опытно-конструкторских работах. Требования: Высшее образование по специальности 22.04.01 «Материаловедение и технология материалов», 22.04.02 «Металлургия». Опытный пользователь ПК. Умение работать с компьютерными программами: MS Office, AutoCAD, Inventor, Solid Works, MathCAD, QForm, Deform, Компас. Знание основ материаловедения. Условия: Режим работы - с 8-30 до 17-30, пятница до 16-30. Возможность повышения квалификации за счет организации. Оформление ДМС после испытательного срока. Премиальные выплаты по итогам года. Дополнительный социальный пакет для молодых специалистов. Доплата к окладу за ученую степень и дополнительные дни к отпуску. Материальная помощь к юбилейным датам, по случаю бракосочетания, рождения детей и т.д. Возможность бесплатного посещения спортивного комплекса два раза в неделю рядом с работой (бассейн, тренажерный зал, игровой зал). Занятия по настольному теннису. Собственная столовая для сотрудников с вкусными завтраками и обедами. Оплата больничного, отпуска. Наличие бесплатной охраняемой парковки для работников. Дружный коллектив. Работа в 2-х минутах от метро Водный стадион.",https://russia.superjob.ru/vakansii/inzhener-tehnolog-konstrukcionnyh-materialov-46375169.html
Водитель-экспедитор категории СЕ,от 200 000 ₽/месяц,Опыт работы от 3 лет,работа вахтовым методом,,"Транспорт, логистика, ВЭД Автоперевозки Водитель грузового автомобиля Водитель-экспедитор категории СЕ от 200 000 ₽/месяц Вахта Москва Показать на карте Опыт работы от 3 лет, работа вахтовым методом ГК ""Профессиональная охрана"" Клиент SuperJob с 2023 года До 50 сотрудников ГК Профессиональная охрана проводит набор сотрудников на вакансии ""охранник"", ""охранник-контролер"" в крупные охранные компании Москвы и... Обязанности: Контроль сохранности груза при транспортировке, а также при погрузке/выгрузке. Проверка корректности оформления путевой и товарно-транспортной документации. Бережное отношение к имуществу компании. Контроль состояния транспортного средства Требования: Водительский стаж от 3-х лет по категории (СЕ) Подтвержденный опыт работы от 1 года в аналогичной должности на автомобилях с идентичной категорией - будет вашим преимуществом! Профессиональное вождение автомобиля, строгое соблюдение ПДД, БДД Условия: Официальное трудоустройство по ТК РФ с первого рабочего дня Совокупный доход от 200 000 (за полный месяц вахты), 700 рублей суточные Оплата стоянок и расходников Предоставление льгот и ДМС Конструктивный диалог Доставка к месту работы Предоставляется спецодежда Навыки: Водительские права: С, E Навыки: Водительские права: C, E Откликнуться Позвонить",https://russia.superjob.ru/vakansii/voditel-ekspeditor-kategorii-se-48789826.html
Старший менеджер минимаркета (ночной),от 85 700 ₽/месяц,Опыт не нужен,,,"Вакансии Продажи Услуги для бизнеса Старший менеджер минимаркета (ночной) от 85 700 ₽/месяц Отклик без резюме Опыт не нужен Доступно студентам Москва, Шелепихинская набережная, 34к5 Деловой центр  и ещё 9 станций Показать на карте Опыт работы не требуется, сменный график работы Азбука вкуса 7.3 Клиент SuperJob с 2007 года Более 5 000 сотрудников ""Азбука вкуса"" - это более 170 магазинов в Москве и Санкт-Петербурге, онлайн-магазин av.ru и мобильное приложение, несколько торговых... Успей оформиться до 1 июля - получи 10 000 руб! Скоро открытие нового минимаркета в ЖК ""Сердце столицы"", м. Шелепиха, Шелепихинская набережная, дoм 34к5 Приведи друга — получи 35 000 руб.! Вместе мы сильнее!* Почему мы: доход от 85 700 руб. + премии; график 3/3 (день или ночь на выбор) или 5/2; можно брать дополнительные смены; официальное трудоустройство по ТК РФ; бонус от 25 000 рублей за рекомендации знакомым и друзьям; скидку 30% на собственную линейку продуктов; мед. книжка за счёт компании; корпоративное питание; возможность быстрого карьерного роста. Чем вы будете заниматься: контролировать работу в торговом зале; разрешать конфликтные ситуации с покупателями; участвовать в проведении инвентаризаций; взаимодействовать с проверяющими органами; вести отчётность. Наш будущий коллега: работал старшим продавцом / администратором / зам. директора / товароведом в сетевых компаниях не менее пол года. Уважаемые соискатели, благодарим за интерес к «Азбуке вкуса». В случае принятия положительного решения по вашей кандидатуре вернёмся с обратной связью в течение одного рабочего дня. Магнит, Спар, Да, Ярче, Лента, Дикси, Верный, Улыбка радуги, Магнолия, Красное белое, Ашан, Метро, Мираторг, Окей, Глобус, Карусель, ВкусВилл, на вакансиях: администратор, управляющий, заместитель директора, старший продавец, старший кассир, товаровед, заведующий складом, менеджер склада и другие. *акция действует с 01.06.2025 по 31.08.2025, распространяется на должности: менеджер минимаркета, специалист торгового зала, продавец супермаркета, менеджер кафетерия. По всем другим должностям вознаграждение составляет 25 000 руб. Профессиональные навыки Работа в команде Грамотная речь Обслуживание покупателей Консультирование Активные продажи Работа с кассой Клиентоориентированность Контроль сроков годности Розничная торговля Клиентский сервис Выявление потребностей Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться Позвонить",https://russia.superjob.ru/vakansii/starshij-menedzher-minimarketa-50494521.html
Полиметалл,7.9,Опыт работы от 1 года, полная занятость,,"По договоренности Певек Опыт работы от 1 года, полная занятость Полиметалл 7.9 Клиент SuperJob с 2007 года Более 5 000 сотрудников «Полиметалл» - один из лидеров по добыче драгоценных металлов в России. Компания самостоятельно осуществляет весь комплекс работ по... Обязанности: Определение золота в руде и продуктах переработки пробирным методом (шихтование, тигельная плавка, купеляция, разваривание золото-серебряных корольков взвешивание золотых корточек). Требования: Образование высшее профессиональное; среднее профессиональное или среднее техническое с дополнительным образованием по профилю по специальности: химия, химическая технология, металлургия цветных металлов; Обязателен опыт определения золота в рудах и/или концентратах пробирным методом; Наличие удостоверения лаборанта химического анализа 4 разряда. Условия: Особенности организации трудового процесса: вахтовый метод работы, график работы 2мес/2мес; Ежегодная индексация заработной платы; Компенсация проезда до пункта сбора и обратно; Развитая инфраструктура вахтовых поселков: комфортабельные общежития, разнообразное сбалансированное меню в столовых, возможность занятий спортом в современных спортивных залах; Также на территории вахтового поселка к Вашим услугам магазин, Wi-Fi, баня, комната отдыха;",https://russia.superjob.ru/vakansii/laborant-probirnogo-analiza-4-razryada-50711231.html
"Водитель-экспедитор категория С, Е",от 100 000 ₽/месяц,Опыт работы от 1 года, полная занятость,,"Транспорт, логистика, ВЭД Автоперевозки Водитель-экспедитор категория С, Е от 100 000 ₽/месяц Екатеринбург Показать на карте Опыт работы от 1 года, полная занятость Арт-Групп Клиент SuperJob с 2023 года До 50 сотрудников Транспортная компания, на рынке с 2014 г. Обязанности: Перевозка сборных грузов под пломбой,постоянный маршрут по области и в соседние регионы (грузоотправитель ООО ""ПЭК"") Требования: Опыт работы Безаварийное вождение Условия: Полная занятость Трудоустройство Оплата два раза в месяц Современные тентованные Volvo,Scania - погрузка задняя. Отечественные автомобили - Маз,КамАз Навыки: Водительские права: C, E Откликнуться",https://russia.superjob.ru/vakansii/voditel-ekspeditor-kategoriya-s-47339316.html
Менеджер отдела учета и оформления / Помощник бухгалтера,от 70 000 ₽/месяц,Опыт работы от 1 года, полная занятость,,"Административная работа, секретариат, АХО Делопроизводство Менеджер отдела учета и оформления / Помощник бухгалтера от 70 000 ₽/месяц Старт карьеры Санкт-Петербург Показать на карте Опыт работы от 1 года, высшее образование, полная занятость Транзит СПб Клиент SuperJob с 2011 года До 50 сотрудников Торговля грузовыми, сельскохозяйственными, специальными автошинами и дисками отечественного и импортного производства. Обязанности:  Работа с первичной документацией. Оформление документов, взаимодействие со складом, умение и не боязнь общения с контагентами. Учет товародвижения (подготовка, оформление данных, отражение в учете).  Требования:  Знание 1С.8; уверенный пользователь ПК; отличное знание MS Office, в особенности Excel, Word; основы бухучета, не боязнь телефонных переговоров. Личные качества: ответственность; внимательность; аналитические способности; умение работать с большими массивами данных.  Условия:  График работы 5/2 с 09:00 до 18:00; Офис Откликнуться",https://russia.superjob.ru/vakansii/menedzher-otdela-ucheta-i-oformleniya-26651862.html
Инженер-технолог литейного производства,от 60 000 ₽/месяц,Опыт работы от 3 лет, полная занятость,,"Промышленность, производство Металлургия Инженер-технолог литейного производства от 60 000 ₽/месяц Мелитополь Показать на карте Опыт работы от 3 лет, высшее образование, полная занятость Оленегорский механический завод Клиент SuperJob с 2020 года Более 100 сотрудников АО «Оленегорский механический завод» более 45 лет работает на рынке оказания услуг по ремонту и изготовлению запасных частей и...  Обязанности: Технологическое сопровождение и полный контроль литейных процессов по всем переделам производства (приготовление формовочных и стрежневых смесей, стержневые и формовочные работы, в т.ч. с использованием ХТС процесса, выплавка сталей (основные стали 110Г13Л, 35Л и т.п.), термообработка) Разработка и внедрение новых литейных процессов; Контроль качества литейной продукции, анализ причин брака, разработка оперативных мер по их устранению; Разработка технологической оснастки в САПР; Разработка и расчет с обоснованием норм расхода материалов на производство Требования: Высшее профессиональное (профильное) образование Желательно опыт работы в программах моделирования литейных процессов Условия: Полный рабочий день Ежегодный отпуск Оплата проезда к новому месту работы (при переезда в район Крайнего Севера) Предоставление благоустроенного общежития Откликнуться",https://russia.superjob.ru/vakansii/inzhener-tehnolog-litejnogo-proizvodstva-38437246.html
Водитель экспедитор категория Е,от 140 000 ₽/месяц,Опыт работы от 1 года, полная занятость,,"Транспорт, логистика, ВЭД Автоперевозки Водитель экспедитор категория Е от 140 000 ₽/месяц Некрасовка (Московская область) Показать на карте Опыт работы от 1 года, полная занятость РОЗ-ГРУЗ Клиент SuperJob с 2021 года До 50 сотрудников Уже 10 лет как на Московском рынке транспортных услуг существует компания ""Рос-Груз"" занимающаяся перевозками грузов. За годы работы нами... В компанию ""Роз-Груз"" требуется водитель категории Е Требуемый опыт работы: 1–3 года График обсуждается : 5/2 , 6/1 , вахта. Обязанности: перевозка грузов согласно заявок; Москва, МО. своевременная подача транспортного средства под погрузку/разгрузку; поддержание транспортного средства в технически исправном состоянии. Требования: знание технического устройства транспортного средства; опрятный внешний вид; позитивное отношение к работе. Условия: Официальное трудоустройство; Отпуск согласно ТК. Пpeдоставляется транспортное средство Mercedes; Наличие пропуска в центр Москвы; Возможно предоставление жилья. Корпоративная мобильная связь; Навыки: Водительские права: E Откликнуться",https://russia.superjob.ru/vakansii/voditel-ekspeditor-kategoriya-e-37108120.html
Менеджер по продажам,до 70 000 ₽/месяц,Опыт не нужен,,,"Продажи Call Center Менеджер по продажам до 70 000 ₽/месяц Опыт не нужен Доступно студентам Волгоград Показать на карте Опыт работы не требуется, неполный рабочий день Ростелеком 6.6 Клиент SuperJob с 2006 года Более 5 000 сотрудников ПАО «Ростелеком» — крупнейший в России интегрированный провайдер цифровых услуг и решений, который присутствует во всех сегментах рынка и... ПАО ""Ростелеком"" - крупнейший Российский провайдер на рынке телекоммуникационных услуг. Наш отдел ищет сотрудников, приглашаем тебя стать частью команды! Начни карьерный рост в компании - лидера рынка! Если ты способный, позитивный и энергичный - откликайся, мы ищем именно тебя! Обязанности: Активные личные продажи услуг компании по телефону физическим лицам (В2С) (Интернет, интерактивное ТВ, видеонаблюдение, оборудование, мобильная связь; Умные продукты: система умный дом, умная колонка Маруся); Прямые продажи, путем обхода территории, закрепленной за вами (поквартирный/подомовой обход); Размещение рекламных материалов на рабочей территории (доски информации, почтовые ящики); формирование заявок на подключение услуг; ведение отчетности. Требования: Развитые коммуникативные навыки (грамотная и четкая речь, хорошая дикция); Готовность коммуницировать с потенциальными клиентами для совершения продажи услуг компании; Умение воспринимать отказы и возражения клиентов спокойно и сдержанно, сохраняя при этом работоспособность; Умение выявлять потребность клиента и умение работать с возражениями; Условия: Индивидуальный график работы (полный рабочий день, совмещение с основной работой или обучением, занятость от 4 рабочих часов в день); Сдельная оплата труда (ваш доход складывается из фиксированных ставок за каждую проданную услугу); Обучение полному циклу продаж; Развитие в компании - корпоративный университет; Мотивационные, конкурсные программы с возможностью дополнительного вознаграждения; Эффективная система наставничества и полная адаптация. Что нужно сделать, чтобы оказаться в нашей команде: Откликнуться на предложение о сотрудничестве Пройти обучение и приступить к оказанию услуг. Мы ищем именно тебя! Профессиональные навыки Ведение переговоров Грамотность Активные продажи Консультирование клиентов Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться",https://russia.superjob.ru/vakansii/menedzher-po-prodazham-45176174.html
Инженер-конструктор отдела главного металлурга,97 500 ₽/месяц,Опыт работы от 3 лет, полная занятость,,"Инженер-конструктор отдела главного металлурга 97 500 ₽/месяц Санкт-Петербург 5 минут Площадь Мужества Показать на карте Опыт работы от 3 лет, высшее образование, полная занятость СПБ ОАО КРАСНЫЙ ОКТЯБРЬ 6.2 Клиент SuperJob с 2013 года Более 1 000 сотрудников Год основания - 1891 СПб ОАО «Красный Октябрь» специализируется в производстве, ремонте и обслуживании силовых агрегатов для вертолетов... СПб ОАО «Красный Октябрь» - современное, крупное, стабильное, динамично развивающееся предприятие, специализирующееся на производстве, ремонте и обслуживании силовых агрегатов для вертолетов, коробок самолетных агрегатов, газотурбинных двигателей – энергоузлов и турбостартеров для самолетов. Обязанности: работа в отделе главного металлурга проектирование литейной оснастки (пресс-формы, кокиля, модельные комплекты и другая литейная оснастка) разработка 3-D моделей и чертежей; разработка и внедрение мероприятий по улучшению качества продукции, повышению эффективности производства, направленные на сокращение расхода материалов, снижение трудоемкости, повышение производительности труда; осуществление контроля за внедрением и ремонтом спроектированной оснастки Требования: наличие профильного высшего образования опыт работы наличие 1 категории Условия: - работа в 5 минутах пешком от ст. метро «Площадь Мужества»; - трудоустройство и социальные гарантии согласно ТК РФ; - своевременная выплата заработной платы 2 раза в месяц, ежегодная индексация заработной платы; - столовая по низким ценам; - собственная МСЧ; - 2 спорткомплекса – один в шаговой доступности от предприятия, второй на территории предприятия; - центр информационного обеспечения с научно-технической библиотекой; - предоставление спецодежды и СИЗ. Мы предлагаем: - обучение работников, повышение квалификации и получение дополнительной профессии за счет работодателя; - участие в турнирах по различным видам спорта среди подразделений Общества, а также участие в городских спортивных соревнованиях; - организацию развлекательных мероприятий к праздникам (концерты, спектакли); - поздравление совместно с профсоюзом детей работников Общества с Новым годом (подарки, билеты на Елки, спектакли и т.д.);",https://russia.superjob.ru/vakansii/inzhener-konstruktor-otdela-glavnogo-metallurga-50701905.html
