"ip";"port";"country code";"city";"region";"country";"level";"http";"https";"socks4";"socks5";"google";"twitter";"instagram";"telegram";"avito";"mailru";"real_ip";"response, msec";"good checks";"bad checks";"hostname"
"180.127.205.143";1080;"CN";"";"";"Китай";1;1;1;0;0;0;0;0;0;1;0;"180.127.205.143";393;144;1501;"180.127.205.143"
"223.206.48.175";8080;"TH";"Bang Lamung";"Chon Buri";"Таиланд";1;0;1;0;0;0;0;1;1;1;0;"223.206.48.175";282;188;23;"mx-ll-223.206.48-175.dynamic.3bb.in.th"
"223.205.75.24";8080;"TH";"Bang Lamung";"Chon Buri";"Таиланд";1;0;1;0;0;0;0;1;1;1;0;"223.205.75.24";282;120;3;"mx-ll-223.205.75-24.dynamic.3bb.in.th"
"223.205.31.113";8081;"TH";"Bang Lamung";"Chon Buri";"Таиланд";1;0;1;0;0;0;0;1;1;1;0;"223.205.31.113";282;100;2;"mx-ll-223.205.31-113.dynamic.3bb.in.th"
"116.232.27.184";1080;"HK";"";"";"Гонконг";1;0;1;0;0;0;0;0;0;0;0;"45.90.208.210";406;122;122;"45.90.208.210.static.xtom.com"
"49.49.41.185";8081;"TH";"Khon Kaen";"Khon Kaen";"Таиланд";1;0;1;0;0;0;0;1;1;1;0;"49.49.41.185";286;625;2199;"49.49.41.185"
"49.48.115.131";8081;"TH";"Khon Kaen";"Khon Kaen";"Таиланд";1;0;1;0;0;0;0;1;1;1;0;"49.48.115.131";286;202;3;"49.48.115.131"
"14.224.174.168";4583;"VN";"Ha Long";"Qung Ninh";"Вьетнам";1;0;1;0;0;0;0;0;0;0;0;"14.171.188.209";289;32;9;"14.171.188.209"
"185.191.236.162";3128;"CH";"";"";"Швейцария";1;0;1;0;0;0;0;0;0;0;0;"185.191.236.162";241;385;3892;"right-connected.com"
"175.193.139.141";8888;"KR";"Yongsan-gu";"Seoul";"Республика Корея";1;0;1;0;0;0;0;1;1;1;0;"175.193.139.141";244;319;879;"175.193.139.141"
"154.212.139.211";3128;"TH";"Pak Kret";"Nonthaburi";"Таиланд";1;1;1;0;0;0;0;1;1;1;1;"154.212.139.211";244;327;1083;"154.212.139.211"
"94.103.83.90";3128;"RU";"Moscow";"Moscow";"Россия";1;0;1;0;0;0;0;1;0;1;0;"94.103.83.90";130;284;2520;"v2808991.hosted-by-vdsina.ru"
"37.220.82.128";3128;"PL";"Warsaw";"Mazovia";"Польша";1;0;1;0;0;0;0;1;1;1;1;"37.220.82.128";133;604;1491;"37.220.82.128"
"203.150.128.20";8080;"TH";"";"";"Таиланд";1;0;1;0;0;0;0;0;0;0;0;"203.150.128.20";274;113;413;"203.150.128.20"
"223.205.191.36";8080;"TH";"Bangkok";"Bangkok";"Таиланд";1;0;1;0;0;0;0;0;0;1;0;"223.205.191.36";282;365;921;"223.205.191.36"
"49.48.99.10";8080;"TH";"Khon Kaen";"Khon Kaen";"Таиланд";1;0;1;0;0;0;0;1;1;1;0;"49.48.99.10";290;7;1;"49.48.99.10"
"121.230.8.215";1080;"CN";"Taizhou";"Jiangsu";"Китай";1;1;1;0;0;0;0;0;0;0;0;"121.230.8.215";303;1;45;"121.230.8.215"
"223.206.66.82";8080;"TH";"Ko Samui";"Surat Thani";"Таиланд";1;0;1;0;0;0;0;0;0;1;0;"223.206.66.82";1581;277;1;"223.206.66.82"
"223.206.48.161";8080;"TH";"Bang Lamung";"Chon Buri";"Таиланд";1;0;1;0;0;0;0;0;0;1;0;"223.206.48.161";1581;444;6;"mx-ll-223.206.48-161.dynamic.3bb.co.th"
"223.205.73.134";8080;"TH";"Bang Lamung";"Chon Buri";"Таиланд";1;0;1;0;0;0;0;0;0;1;0;"223.205.73.134";1723;6;0;"mx-ll-223.205.73-134.dynamic.3bb.co.th"
"223.204.64.91";8080;"TH";"Chiang Mai";"Chiang Mai";"Таиланд";1;0;1;0;0;0;0;0;0;1;0;"223.204.64.91";383;206;1;"mx-ll-223.204.64-91.dynamic.3bb.in.th"
"192.73.244.36";54055;"TH";"Nakhon Ratchasima";"Nakhon Ratchasima";"Таиланд";1;0;1;0;0;0;0;0;0;1;0;"223.204.54.178";1581;212;10;"223.204.54.178"
"194.124.36.22";8080;"TR";"Antakya";"Hatay";"Турция";1;0;1;0;0;0;0;0;0;0;0;"194.124.36.22";142;17;0;"194.124.36.22"
"191.81.235.146";8080;"AR";"Mendoza";"Mendoza";"Аргентина";1;0;1;0;0;0;0;0;0;1;0;"191.81.236.75";384;144;231;"191-81-236-75.speedy.com.ar"
"190.102.15.95";1111;"SX";"";"";"Синт-Маартен";1;0;1;0;0;0;0;0;0;0;0;"190.102.15.95";495;59;1;"sub-95-15-102-190.caribserve.net"
