title,salary,experience,busyness,location,description,link
Администратор салона красоты,от 80 000 ₽/месяц,Опыт работы от 1 года,,Красногорск,"Администратор салона красоты от 80 000 ₽/месяц Красногорск Показать на карте Опыт работы от 1 года, сменный график работы Салон «Perfect Beauty Club” Клиент SuperJob с 2013 года До 50 сотрудников Салон «Perfect Beauty Club” ТЦ РИГАМОЛ, НОВОРИЖСКОЕ ШОССЕ, 5 КМ ОТ МКАД Обязанности: Работа с клиентами (обслуживание, запись и расчет клиентов); Прием телефонных звонков, телефонные консультации; Продвижение услуг, продажа косметических средств, решение организационных вопросов, учет материальных ценностей, отчетность, ведение внутренней документации; Контроль за работой мастеров; Создание благоприятной атмосферы в салоне. Требования: Опыт работы в салонах от 1 года Знание правил обслуживания и профессиональной этики Гражданство РФ  Условия: ТЦ РИГАМОЛ, НОВОРИЖСКОЕ ШОССЕ, 5 КМ ОТ МКАД Сменный график работы 2/2 с 10 до 21 График 2/2 оклад 80.000 плюс процент с услуг и продаж транспорт оплачивается работодателем Оформление по ТК Обучение Профессиональные навыки Организаторские навыки Уверенный пользователь ПК Кассовые операции Навыки продаж Консультирование клиентов Ведение клиентской базы",https://russia.superjob.ru/vakansii/administrator-salona-krasoty-50718762.html
Администратор-кассир,от 40 000 ₽/месяц,Опыт работы от 1 года, полная занятость,Ищем кандидата из: г. Электросталь и др. городов,"Бухгалтерия, финансы, аудит Кассовые операции Администратор-кассир Администратор-кассир от 40 000 ₽/месяц Ищем кандидата из: г. Электросталь и др. городов Московская область, Электросталь, проспект Ленина, 010 Показать на карте Опыт работы от 1 года, полная занятость Морокова Мария Олеговна Клиент SuperJob с 2024 года До 50 сотрудников Меховой салон PRIMADONNA. В меховой салон PRIMADONNA требуется администратор -кассир Обязанности: Консультирование покупателей Работа с кассой и терминалом (оплата картами), кассовой документацией, отчетность по кассовой дисциплине. Входящие и исходящие звонки. Ведение документации. Открытие и закрытие смены Давать задачи сотрудникам Сохранять порядок в зале Приёмка товара Переоценка товара Отчёты Знания ПК Возвраты Умение устранять конфликты Приемка товара Профессиональные навыки Организаторские навыки Пользователь ПК Грамотная речь Ответственность Ведение отчетности Кассовые операции Доброжелательность Обслуживание покупателей Работа с кассой Умение работать с людьми Откликнуться Позвонить",https://russia.superjob.ru/vakansii/administrator-kassir-49945121.html
Территориальный руководитель / Шеф-флорист,80 000 — 120 000 ₽/месяц,Опыт работы от 1 года, полная занятость,Ищем кандидата из: г. Санкт-Петербург и др. городов,"Продажи Флористика Территориальный руководитель / Шеф-флорист 80 000 — 120 000 ₽/месяц Ищем кандидата из: г. Санкт-Петербург и др. городов Санкт-Петербург, проспект Просвещения, 41 Показать на карте Опыт работы от 1 года, полная занятость FLOWERS IRIS Клиент SuperJob с 2023 года До 50 сотрудников Сеть салонов цветов и декора в Петербурге. Авторская флористика и импортные цветы высокого качества из отборных и премиум-сортов напрямую... Более 20 лет наша компания FLOWERS IRIS с цветочной базой и сетью салонов цветов и декора ведет свою деятельность в Петербурге и пригородах. Мы занимаемся покупкой и продажей / доставкой срезанных цветов премиум-качества напрямую от ведущих плантаций и садовников со всего мира, а также реализуем горшечные растения, дизайнерские украшения для дома и многое другое. В связи с развитием нашей сети, приглашаем Вас стать частью нашей команды! В поиске новых компетентных и энергичных специалистов по работе розничных салонов цветов на руководящую должность. Ваша основная задача будет заключаться в управлении персоналом флористов, развитии флористики и цветочной матрицы, обеспечении высокого уровня обслуживания и лояльности клиентов. Ищем преимущественно старших / ведущих / шеф-флористов или управляющих и руководителей из цветочной сферы, с большим опытом, знанием в цветах или высоким уровнем флористики, со вкусом и современным подходом, следуя новейшим флористическим тенденциям. Наличие опыта работы в цветочной сфере (с флористическими навыками и знаниями) является обязательным условием! Без опыта работы (в ЦВЕТАХ), без знания данной сферы, без понимания специфики цветочного рынка - не рассматриваем! Также можем рассмотреть на управляющего магазинов или другие наши направления, например, оптового. Более подробно Должностные обязанности: Организация торгового процесса в сети магазинов (ежедневное посещение магазинов согласно потребности, аудит по чек-листу, выявление зон роста и контроль выполнения); Работа с командой (во взаимодействии управляющих магазинов), мотивация, развитие, обеспечение высокого уровня вовлеченности и лояльности к компании; Обеспечение и поддержка культуры клиентоориентированности покупателям, качественного обслуживания; Управление работой флористов, организация обучения и повышения квалификации персонала; Разработка и внедрение новых стилей флористических композиций и дизайнов букетов; Анализ товарных остатков (участие в коррекции заказов, формирование новой коллекции на сезон); Визуальный мерчендайзинг и поддержание высокого уровня флористики в соответствии с фирменной концепцией компании; Контроль качества продукции и обслуживания клиентов; Анализ потребностей рынка и адаптация ассортимента под запросы покупателей; Составление предложений по корректировке ассортимента товаров в зависимости от результатов продаж; Обеспечение по сети магазинов качественной подготовки персонала (подбор и адаптация прохождения основных вебинаров по технике продаж, товару, мерчендайзингу, разработка плана обучения персонала согласно потребности магазинов, аттестация, оценка персонала, резерв); Составление цветочной матрицы и рецептов (рецепты и коллекции букетов для каждого сезона и праздника, учитывая предпочтения клиентов и изменения в продажах). Требования к кандидату: Опыт работы с цветочной продукцией от 2 лет; Опыт управления магазином или группой магазинов в розничной сети в аналогичной должности (старший флорист, администратор, директор, управляющий магазином и т.д.) от 1 года; Ярко выраженные лидерские, управленческие качества; Понимание специфики и подводных нюансов работы с цветком и флористами; Умение работать на результат; организаторские навыки; высокий уровень самодисциплины; Желание много работать и развиваться вместе с нами; Наличие вкуса, чувства стиля и цвета; Разъездная работа по торговым точкам (север города) и до нашей цветочной базы Работая с FLOWERS IRIS: Постоянная работа, 5/2 (график обсуждается); Собственная база цветов с высоким и премиум качеством, покупаем самостоятельно на аукционе и работаем напрямую с ведущими плантациями и садовниками со многих стран мира; Навыки разработки (умение разрабатывать рецептов, по которым будут составлять букеты, учитывая сезонность и особенности цветов); Аналитические способности (отслеживание за изменениями в продажах и решение по продажам); Педагогические навыки (обучение новых сотрудников мастерству флориста, продажам и обслуживания); Своевременная выплата зарплаты в полном объеме с премиями по результатам выполненных работ; Работа в современных салонах с продукцией высокого качества и профессиональной командой; Перспектива роста и развития вместе с динамичной компанией. Испытательный срок до 1 месяца (зависит, насколько быстро пройдет адаптация и обучение, как себя проявите и успешно будете справляться с обязанностями) Условия обсуждаются индивидуально (в зависимости от уровня навыков и знаний кандидата): оклад (за смену) + бонусы Будем рады, если Вы станете частью нашей команды! При отклике на вакансию к рассмотрению принимаются заявки при недостающейся или отсутсвующейся информации в резюме в виде сопроводительного письма или портфолио: успешные проекты, кейсы, пройденные курсы, профессиональные и флористические работы (если имеются), информацию о прошлых местах работы.  Профессиональные навыки Работа в команде Стрессоустойчивость Ответственность Творческое мышление Коммуникабельность Исполнительность Ориентация на результат Доброжелательность Обслуживание покупателей Навыки продаж Креативность Консультирование Клиентоориентированность Способность к обучению и восприятию информации Оформление витрин навыки мерчендайзинга / оформления витрин, торгового зала Флористика Сборка букетов Свадебная флористика Сборка букетов по фото Авторская флористика Новогодняя флористика Развитие в сфере флористики Креативные флористические композиции Откликнуться",https://russia.superjob.ru/vakansii/territorialnyj-rukovoditel-49905741.html
Администратор салона красоты,45 000 — 70 000 ₽/месяц,Опыт работы от 1 года, полная занятость,Санкт-Петербург,"Административная работа, секретариат, АХО Секретариат, ресепшн, офис-менеджмент Администратор салона красоты Администратор салона красоты 45 000 — 70 000 ₽/месяц Отклик без резюме Санкт-Петербург Чкаловская Показать на карте Опыт работы от 1 года, полная занятость Студия Art nail & Kokoko Салон красоты полного цикла Салон работает более 6 лет Услуги в салоне: маникюр, педикюр, стрижки, окрашивание, брови, ресницы, укладки, макияж большой клиентский поток гарантированная зарплата удобное оборудованное пространство комната отдыха удобный график работы работа в классном коллективе и с понимающим руководством удобное месторасположение (5 мин от метро Чкаловская) центр СПб Условия: График работы: полный рабочий день. Оплата труда: стабильная заработная плата + премии. Место работы: современный салон красоты в центре города. Дружелюбный коллектив и комфортные условия труда. Требования: Опыт работы администратором от 1 года. Знание программы учета времени. Коммуникабельность, ответственность, пунктуальность. Знание основных процедур салона красоты будет являться преимуществом. Обязанности: Прием посетителей и запись на услуги. Консультирование клиентов по услугам салона. Организация работы мастеров и учет рабочего времени. Контроль чистоты и порядка в зоне ожидания посетителей. Ведение отчетности по приходу-расходу материалов в салоне. Дополнительные преимущества: Скидки в компании Зоны отдыха Откликнуться Позвонить",https://russia.superjob.ru/vakansii/administrator-salona-krasoty-50713957.html
Администратор в салон часов и ювелирных украшений AllTime,65 000 — 110 000 ₽/месяц,Опыт работы от 1 года,,Уфа,"Администратор в салон часов и ювелирных украшений AllTime 65 000 — 110 000 ₽/месяц Уфа Показать на карте Опыт работы от 1 года, сменный график работы AllTime Клиент SuperJob с 2023 года До 50 сотрудников Сеть салонов AllTime (розничное направление крупнейшего магазина часов, ювелирных изделий и аксессуаров). Должностные обязанности: - Консультирование клиентов по ассортименту и вопросам приобретения товара - Оформление покупки - Прием товара, визуальный мерчандайзинг - Ведение журнала продаж и отчетности - Работа с заказами интернет-магазина, заказами розничных клиентов. Требования: - опыт работы с кассовым аппаратом обязателен; - знание ПК (уверенный пользователь), пакет приложений Microsoft Office, почтовые программы; - грамотная речь; - ответственность; - опрятность; - желание работать и совершенствоваться. - наличие опыта работы в продажах обязательно Мы предлагаем: - Оплачиваемая стажировка. Оплачиваемое обучение (тренинги); - Скидки на продукцию для сотрудников компании; - Профессиональный рост и рост заработной платы зависит от Ваших личных навыков и возможностей (оклад + % от продаж + возможность доп. заработка).",https://russia.superjob.ru/vakansii/administrator-v-salon-chasov-i-yuvelirnyh-ukrashenij-alltime-50710006.html
Продавец,от 50 000 ₽/месяц,Опыт не нужен,гибкий график и гарантированную занятость – работа будет всегда,Сосновый Бор (Ленинградская область),"Вакансии Продажи Телекоммуникации, сетевые решения, средства связи Продавец от 50 000 ₽/месяц Опыт не нужен Доступно студентам Сосновый Бор (Ленинградская область) Опыт работы не требуется, сменный график работы ГК Вест Телеком Клиент SuperJob с 2022 года До 50 сотрудников Группа Компаний ВЕСТ Телеком – один из крупнейших игроков рынка телекоммуникационного ритейла России, образованный 1 февраля 1998-го года в... Мы – Группа Компаний ВЕСТ ТЕЛЕКОМ! Нас более 500 человек, более 25 лет работаем, более чем в 15 городах России. Мы работаем с 1998 года. Являемся партнёрами операторов связи TELE2 (Теле2), МегаФон, МТС. Открыта вакансия Менеджера по продажам в официальном салоне сотовой связи, теперь ты можешь стать частью нашей команды! Наша сфера- это сфера работы с людьми, работа для людей, готовых развиваться в продажах и управлении персоналом, скорость карьерного роста зависит от тебя! МЫ ПРЕДЛАГАЕМ: оплачиваемую стажировку под руководством наставника, чтобы ты освоился и чувствовал себя уверенно работая с клиентами; гарантированный оклад от 40000 руб. за ответственное отношение и % с продаж за профессионализм, выплачиваемые без задержек, стабильная выплата зарплаты; гибкий график и гарантированную занятость – работа будет всегда, никаких простоев, обязательных отгулов и сокращений; Условия трудоустраиваем официально; график удобный - 3/2, 4/2‚ 5/2, плавающие выходные; условия труда комфортные, предоставляем брендированную форму, скидки в компании, корпоративный мерч, развитие в нашей группе компаний; удобное расположение салонов; Приветствуется опыт работы на должностях: продавец, продавец-консультант, менеджер по продажам, управляющий салоном связи, менеджер активных продаж, агент прямых продаж, специалист по работе с клиентами, торговый представитель, директор торговой точки, продавец торговой точки, администратор, кредитный специалист; опыт в салоне связи Билайн, Связной, Хорошая связь, Евросеть, Эльдорадо, М.Видео, опыт работы с сфере продаж и обслуживания Тинькофф, СБЕР, Яндекс, Самокат, Ситилинк, DNS, OZON, Wildberries. Не жди закрытия вакансии, звони, если тебе это все по силам! Профессиональные навыки Работа в команде Пользователь ПК Работа с людьми Продажи физическим лицам Продажи Обучение команды продаж Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться Позвонить",https://russia.superjob.ru/vakansii/prodavec-48975355.html
Менеджер по продажам,57 000 — 68 000 ₽/месяц,Опыт не нужен,,Череповец,"Вакансии Продажи Бытовая техника, электроника, фото, видео Менеджер по продажам 57 000 — 68 000 ₽/месяц Отклик без резюме Опыт не нужен Череповец Показать на карте Опыт работы не требуется, среднее специальное образование, сменный график работы Билайн Клиент SuperJob с 2006 года Более 5 000 сотрудников Билайн — это современный и открытый работодатель с возможностями развития для сотрудников разных направлений. Самым ценным активом... Мы предлагаем: Гарантированный доход на период адаптации работы ДМС со стоматологией Оплату мобильной связи на 1500 в месяц 2 дополнительных дня отпуска от компании – всего 30 отпускных дней Скидки для сотрудников на технику и продукты билайна Оформление на трудовой договор Офис рядом с домом График работы 5/2 с плавающими выходными В нашем офисе обслуживания ты будешь: Консультировать клиентов Настраивать тарифы абонентам билайна Подключать услуги и сервисы Опыт в продажах не требуется. У тебя будет мобильное приложение, в котором есть все характеристики гаджетов и тарифов. Ты сможешь легко отвечать на любые вопросы клиентов. Приступить к работе можно всего за 3 дня: 1. Нажми «откликнуться» и мы перезвоним в течение рабочего дня 2. Пригласим в ближайший офис для встречи с руководителем 3. Подпишем договор Будет преимуществом опыт работы в должностях: менеджер по работе с клиентами, специалист салона связи, администратор, кассир, сервисный специалист, мерчандайзер, кредитный специалист, оператор колл центра, курьер, менеджер по продажам, продавец-консультант, специалист по продажам, менеджер офиса продаж, промоутер. Тебе понравится в билайне, если работал в компаниях: Яндекс, СБЕР, Тинькофф, Пятерочка, Магнит, Самокат, Яндекс Доставка, OZON, Wildberries, Вкусно – и точка, KFC, Burger King, М.Видео, Эльдорадо, ДНС, DNS, Ситилинк, МТС, Мегафон, Теле2, Связной, Ростелеком. Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться Позвонить",https://russia.superjob.ru/vakansii/menedzher-po-prodazham-50737970.html
Администратор салона красоты,25 000 — 40 000 ₽/месяц,Опыт работы от 1 года,,Ярославль,"Административная работа, секретариат, АХО Секретариат, ресепшн, офис-менеджмент Администратор в салон Администратор салона красоты 25 000 — 40 000 ₽/месяц Ярославль Опыт работы от 1 года, сменный график работы Костюченко Александр Юрьевич Клиент SuperJob с 2024 года До 50 сотрудников Мы филиал салона красоты Saxap в Ярославле. Оказываем услуги в сфере красоты. Маникюр/педикюр, депиляция, парикмахер. Обязанности: открытие/закрытие смены работа с кассой и эквайрингом поддержание чистоты рабочего места четкое выполнение должностных обязанностей быть всегда на связи Требования: работа с программой Yclients коммуникабельность и умение продавить Условия: График работы 2/2 с 9.00 до 21.00 Оплата - оклад + бонус за KPI Скидка на услуги салона 40% Откликнуться Позвонить",https://russia.superjob.ru/vakansii/administrator-salona-krasoty-49326871.html
Администратор салона красоты,50 000 — 70 000 ₽/месяц,Опыт работы от 1 года, полная занятость,"Москва, Россошанская улица, 6","Административная работа, секретариат, АХО Секретариат, ресепшн, офис-менеджмент Администратор салона красоты Администратор салона красоты 50 000 — 70 000 ₽/месяц Отклик без резюме Москва, Россошанская улица, 6 Улица Академика Янгеля Показать на карте Опыт работы от 1 года, полная занятость Салон красоты Элони Элони – это профессиональная студия красоты недалеко от метро улица Академика Янгеля в Москве, предоставляющая процедуры широкого профиля (от педикюра – маникюра до сложного окрашивания волос). К вашим услугам сразу несколько залов (парикмахерская, ногтевой сервис, косметология) и лучшие мастера города, которые регулярно проходят повышение квалификации. Мы непросто преображаем своих клиентов. Мы дарим положительные эмоции и отличное настроение на весь день! Условия: График работы: 2/2 полный рабочий день. Достойный уровень заработной платы, премии и бонусы. Дружный коллектив, возможности для профессионального роста. Скидка на обслуживание в салоне У нас серьёзная команда, приглашаем вас посмотреть наши салоны, атмосферу и пообщаться лично. Требования: Грамотная речь Опыт работы администратором от 2 лет. Знание ПК и Социальных сетей, Ответственность, коммуникабельность, готовность к обучению. Кстати: отсутствие опыта - не помеха. Обязанности: Приём входящих звонков клиентов, запись клиентов. Продажа и продвижение услуг и продукции Контроль и организация работы персонала Салона. Создание резервных копий данных и их защита от утечек. Организация бесперебойной работы салона. Создание атмосферы уюта и комфорта Ключевые навыки: Запись клиентов, Координация работы мастеров, Решение организационных вопросов Откликнуться Позвонить",https://russia.superjob.ru/vakansii/administrator-salona-krasoty-50703086.html
Администратор салона,от 30 000 ₽/месяц,Опыт работы от 3 лет,,Ищем кандидата из: г. Москва и др. городов,"Административная работа, секретариат, АХО Секретариат, ресепшн, офис-менеджмент Администратор салона от 30 000 ₽/месяц Ищем кандидата из: г. Москва и др. городов Московская область, Раменское, Северное шоссе, 10 Опыт работы от 3 лет, сменный график работы Мастерская тела Анны Кужель (ИП Герасименко Анна Александровна) Клиент SuperJob с 2024 года До 50 сотрудников Меня зовут Анна Кужель - я руководитель студии «Мастерской тела Анны Кужель». В нашей студии уже 5 лет мы трудимся над красотой, здоровьем... Кужель - я руководитель студии «Мастерской тела Анны Кужель», начинала работать в своей квартире мастером депиляции. И вот уже 5 лет мы трудимся над красотой, здоровьем и уверенностью всех жителей города Раменское. Но и из ближайших городов к нам приезжают, что очень ценно для всей нашей команды профессионалов. Студия 38 квадратных метров, но это только начало, впереди большие планы. Мы ищем кандидата на должность администратора с опытом работы от 1 года, с возможностью роста до Управляющей Если ты хочешь прикоснуться к красоте, заботе о людях, ты амбициозна, ответственна, чистоплотна, пунктуальна, коммуникабельна и умеешь работать в условиях многозадачности - тебе к нам! Обязанности: ️ведение записей в программе YCLIENTS ️приём и распределение входящих звонков ️смс-рассылка ️встреча клиентов - чай/ кофе ️расчёт клиентов ️консультирование клиентов по услугам/продукции ️координация работы студии ️контроль и поддержание порядка студии ️продажа товаров, услуг, абонементов клиентам От нас: - удобный график работы 2/2; 3/3 - стабильная зарплата - обучение и развитие - много благодарных клиентов - корпоративный прайс на услуги и товары студии - корпоративы за счет студии - оклад + % с продаж Если ты прочитала вакансию до конца и готова с нами покорять мир красоты - пиши в сопроводительном письме «хочу работать с Вами». Профессиональные навыки Грамотная речь Пунктуальность Коммуникабельность, ответственность Чистоплотность, пунктуальность, исполнительность. Откликнуться",https://russia.superjob.ru/vakansii/administrator-salona-50103948.html
